-180,-10.1333510514762
-175,-10.394168754966
-170,-10.5026197276419
-165,-10.4887162383636
-160,-10.4340019164323
-155,-10.4441231972833
-150,-10.6119143725907
-145,-10.9766594047863
-140,-11.4755857574838
-135,-11.9011447781718
-130,-11.9607197551744
-125,-11.5236150988597
-120,-10.7655638190815
-115,-9.96545988340058
-110,-9.30028924703945
-105,-8.81949557442919
-100,-8.47671896637911
-95,-8.15727272136218
-90,-7.73019097424756
-85,-7.14155412047445
-80,-6.46669795842054
-75,-5.84530174123167
-70,-5.37481456744723
-65,-5.0552979217296
-60,-4.79468661362719
-55,-4.46651758025837
-50,-3.99920201206705
-45,-3.42037366035842
-40,-2.81267439386371
-35,-2.24818493676379
-30,-1.76469160632479
-25,-1.37471150017201
-20,-1.07922586928847
-15,-0.874607138413007
-10,-0.754144659251928
-5,-0.708281021904447
0,-0.725549975658118
5,-0.79399223541204
10,-0.902218405430251
15,-1.04002982444674
20,-1.19965339980441
25,-1.37891979524137
30,-1.5858462129439
35,-1.84049645471081
40,-2.1683307161397
45,-2.5832963225878
50,-3.06762759289126
55,-3.56499066669067
60,-4.00670368934316
65,-4.36607924176693
70,-4.6886973329734
75,-5.05744570411085
80,-5.52606222932068
85,-6.0746159385154
90,-6.60963546159237
95,-7.02300463376991
100,-7.29068735731835
105,-7.51527358599494
110,-7.86027299230167
115,-8.45577181869395
120,-9.33163876825931
125,-10.3416896615436
130,-11.0892229604344
135,-11.1331543184527
140,-10.5226216825737
145,-9.7228963510223
150,-9.09234246732535
155,-8.7619461824816
160,-8.73305713629362
165,-8.94840446592234
170,-9.32132412695458
175,-9.74997333170303
180,-10.1333510514762
